user_id,country,source,platform,device_family,event_1,event_2,revenue
44023fc9,it,Organic,iOS,Apple iPhone,28,1,0.097079
990ce89e,de,Organic,Android,Samsung Galaxy Phone,51,5,0.233669
0c103f51,pt,Organic,iOS,Apple iPhone,647,157,1.630575
ab2de453,pt,Organic,iOS,Apple iPad,35,0,0.084876
45c0aca3,fr,Non-Organic,Android,Samsung Galaxy Phone,0,0,0.0
e044a757,fr,,Android,samsung samsung SM-P610,139,4,0.430074
ddef57fe,fr,Non-Organic,Android,Lenovo LENOVO Lenovo TB-X605F,0,0,0.0
8cdcaf3e,fr,Non-Organic,Android,OPPO OPPO CPH2065,0,0,0.0
3231f286,fr,Organic,Android,Huawei Phone,30,0,0.078162
0c2a21b7,fr,Non-Organic,Android,Samsung Galaxy Tab,55,0,0.191775
94979624,fr,Non-Organic,Android,HUAWEI HUAWEI AMN-LX9,39,0,0.123795
80a00532,fr,Non-Organic,Android,Samsung Galaxy Phone,0,0,0.0
108ae993,fr,Non-Organic,Android,Samsung Galaxy Phone,0,0,0.0
c9100f35,fr,Non-Organic,Android,Samsung Galaxy Phone,16,0,0.049572
6e54c078,fr,Organic,Android,Samsung Galaxy Tab,63,0,0.203843
983d5b56,fr,Non-Organic,Android,OPPO OPPO CPH1931,0,0,0.0
607099c7,fr,Non-Organic,Android,HUAWEI HUAWEI AMN-LX1,0,0,0.0
2c0dbb53,fr,Non-Organic,Android,asus asus P00C,0,0,0.0
0f051d0c,fr,Non-Organic,Android,Huawei Phone,0,0,0.0
eca9903a,fr,Non-Organic,Android,Samsung Galaxy Phone,6,0,0.018544
af6cfa75,fr,Non-Organic,Android,Samsung Galaxy Phone,87,4,0.243554
cc249fa5,fr,Organic,Android,samsung samsung SM-G991B,22,0,0.076051
1eaff76b,fr,Organic,Android,WIKO WIKO HARRY,213,2,0.484751
9f250a7c,fr,Organic,Android,Samsung Galaxy Tab,133,1,0.448423
3a024e1c,fr,Organic,Android,Samsung Galaxy Phone,458,6,1.343133
dc6ad813,fr,Non-Organic,Android,Samsung Galaxy Phone,39,2,0.117592
2862c0e5,fr,Non-Organic,Android,xiaomi Xiaomi Redmi Note 8T,4,1,0.015213
819a29b2,ar,Organic,iOS,Apple iPhone,72,0,0.111476
eb99eddf,ar,Organic,iOS,Apple iPhone,152,14,0.260757
9ea06002,fr,Non-Organic,Android,Huawei Phone,220,21,0.684702
9704ad3a,fr,,Android,Huawei Phone,188,0,0.539966
af5a265d,fr,Organic,Android,Samsung Galaxy Tab,135,0,0.401512
1f0a83c3,fr,Organic,Android,Samsung Galaxy Note,0,29,0.111713
f9c46f25,es,,iOS,Apple iPhone,120,3,0.359323
